https://www.bikotbi.org/ontology/BIKO_000182,https://www.bikotbi.org/ontology/BIKO_000059,https://www.bikotbi.org/ontology/BIKO_000171,https://www.bikotbi.org/ontology/BIKO_000178,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000086,https://www.bikotbi.org/ontology/BIKO_000062,https://www.bikotbi.org/ontology/BIKO_000063,https://www.bikotbi.org/ontology/BIKO_000157,https://www.bikotbi.org/ontology/BIKO_000184,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000074,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000058,https://www.bikotbi.org/ontology/BIKO_000181,https://www.bikotbi.org/ontology/BIKO_000028
Adult,28 - 32 g,https://doi.org/10.1007/s11064-017-2186-z,PMID:28214984,"Liu Z, Wang H, Shi X, Li L, Zhou M, Ding H, Yang Y, Li X, Ding K. DL-3-n-Butylphthalide (NBP) Provides Neuroprotection in the Mice Models After Traumatic Brain Injury via Nrf2-ARE Signaling PathwayNeurochem Res. 2017 May;42(5):1375-1386. doi: 10.1007\/s11064-017-2186-z. Epub 2017 Feb 18.","Liu Z, Wang H, Shi X, Li L, Zhou M, Ding H, Yang Y, Li X, Ding K. DL-3-n-Butylphthalide (NBP) Provides Neuroprotection in the Mice Models After Traumatic Brain Injury via Nrf2-ARE Signaling PathwayNeurochem Res. 2017 May;42(5):1375-1386. doi: 10.1007\/s11064-017-2186-z. Epub 2017 Feb 18.",male,male,mouse,ICR,ICR,,154,"Liu Z, Wang H, Shi X, Li L, Zhou M, Ding H, Yang Y, Li X, Ding K. DL-3-n-Butylphthalide (NBP) Provides Neuroprotection in the Mice Models After Traumatic Brain Injury via Nrf2-ARE Signaling PathwayNeurochem Res. 2017 May;42(5):1375-1386. doi: 10.1007\/s11064-017-2186-z. Epub 2017 Feb 18.","Liu Z, Wang H, Shi X, Li L, Zhou M, Ding H, Yang Y, Li X, Ding K. DL-3-n-Butylphthalide (NBP) Provides Neuroprotection in the Mice Models After Traumatic Brain Injury via Nrf2-ARE Signaling PathwayNeurochem Res. 2017 May;42(5):1375-1386. doi: 10.1007\/s11064-017-2186-z. Epub 2017 Feb 18.",male,male,weight-drop device,Weight-drop model
,28 - 35 g,https://doi.org/10.1007/s11064-018-2597-5,PMID:30027364,"Huang SX, Qiu G, Cheng FR, Pei Z, Yang Z, Deng XH, Zhu JH, Chen L, Chen CC, Lin WF, Liu Y, Liu Z, Zhu FQ. Berberine Protects Secondary Injury in Mice with Traumatic Brain Injury Through Anti-oxidative and Anti-inflammatory ModulationNeurochem Res. 2018 Sep;43(9):1814-1825. doi: 10.1007\/s11064-018-2597-5. Epub 2018 Jul 19.","Huang SX, Qiu G, Cheng FR, Pei Z, Yang Z, Deng XH, Zhu JH, Chen L, Chen CC, Lin WF, Liu Y, Liu Z, Zhu FQ. Berberine Protects Secondary Injury in Mice with Traumatic Brain Injury Through Anti-oxidative and Anti-inflammatory ModulationNeurochem Res. 2018 Sep;43(9):1814-1825. doi: 10.1007\/s11064-018-2597-5. Epub 2018 Jul 19.",male,male,mouse,C57BL,C57BL/6J,,155,"Huang SX, Qiu G, Cheng FR, Pei Z, Yang Z, Deng XH, Zhu JH, Chen L, Chen CC, Lin WF, Liu Y, Liu Z, Zhu FQ. Berberine Protects Secondary Injury in Mice with Traumatic Brain Injury Through Anti-oxidative and Anti-inflammatory ModulationNeurochem Res. 2018 Sep;43(9):1814-1825. doi: 10.1007\/s11064-018-2597-5. Epub 2018 Jul 19.","Huang SX, Qiu G, Cheng FR, Pei Z, Yang Z, Deng XH, Zhu JH, Chen L, Chen CC, Lin WF, Liu Y, Liu Z, Zhu FQ. Berberine Protects Secondary Injury in Mice with Traumatic Brain Injury Through Anti-oxidative and Anti-inflammatory ModulationNeurochem Res. 2018 Sep;43(9):1814-1825. doi: 10.1007\/s11064-018-2597-5. Epub 2018 Jul 19.",male,male,weight-drop device,Weight-drop model
,"30 g, 35 g",https://doi.org/10.1007/s12028-021-01381-3,PMID:34782991,"Karakaya D, Cakir-Aktas C, Uzun S, Soylemezoglu F, Mut M. Tailored Therapeutic Doses of Dexmedetomidine in Evolving Neuroinflammation after Traumatic Brain InjuryNeurocrit Care. 2022 Jun;36(3):802-814. doi: 10.1007\/s12028-021-01381-3. Epub 2021 Nov 16.","Karakaya D, Cakir-Aktas C, Uzun S, Soylemezoglu F, Mut M. Tailored Therapeutic Doses of Dexmedetomidine in Evolving Neuroinflammation after Traumatic Brain InjuryNeurocrit Care. 2022 Jun;36(3):802-814. doi: 10.1007\/s12028-021-01381-3. Epub 2021 Nov 16.",No sex reported,No sex reported,mouse,Swiss Albino,Swiss Albino,,158,"Karakaya D, Cakir-Aktas C, Uzun S, Soylemezoglu F, Mut M. Tailored Therapeutic Doses of Dexmedetomidine in Evolving Neuroinflammation after Traumatic Brain InjuryNeurocrit Care. 2022 Jun;36(3):802-814. doi: 10.1007\/s12028-021-01381-3. Epub 2021 Nov 16.","Karakaya D, Cakir-Aktas C, Uzun S, Soylemezoglu F, Mut M. Tailored Therapeutic Doses of Dexmedetomidine in Evolving Neuroinflammation after Traumatic Brain InjuryNeurocrit Care. 2022 Jun;36(3):802-814. doi: 10.1007\/s12028-021-01381-3. Epub 2021 Nov 16.",No sex reported,No sex reported,weight-drop device,Weight-drop model
Immature,25 - 30 g,https://doi.org/10.1007/s12028-022-01468-5,PMID:35314968,"Adedipe A, John AS, Krishnamoorthy V, Wang X, Steck DT, Ferreira R, White N, Stern S. Left Ventricular Function in the Initial Period After Severe Traumatic Brain Injury in SwineNeurocrit Care. 2022 Mar 21. doi: 10.1007\/s12028-022-01468-5. Online ahead of print.","Adedipe A, John AS, Krishnamoorthy V, Wang X, Steck DT, Ferreira R, White N, Stern S. Left Ventricular Function in the Initial Period After Severe Traumatic Brain Injury in SwineNeurocrit Care. 2022 Mar 21. doi: 10.1007\/s12028-022-01468-5. Online ahead of print.",female,female,pig,Yorkshire,Yorkshire,,159,"Adedipe A, John AS, Krishnamoorthy V, Wang X, Steck DT, Ferreira R, White N, Stern S. Left Ventricular Function in the Initial Period After Severe Traumatic Brain Injury in SwineNeurocrit Care. 2022 Mar 21. doi: 10.1007\/s12028-022-01468-5. Online ahead of print.","Adedipe A, John AS, Krishnamoorthy V, Wang X, Steck DT, Ferreira R, White N, Stern S. Left Ventricular Function in the Initial Period After Severe Traumatic Brain Injury in SwineNeurocrit Care. 2022 Mar 21. doi: 10.1007\/s12028-022-01468-5. Online ahead of print.",female,female,fluid percussion device,Fluid percussion injury model
,30 - 40 g,https://doi.org/10.1007/s12031-020-01688-4,PMID:32901372,"Qubty D, Rubovitch V, Benromano T, Ovadia M, Pick CG. Orally Administered Cinnamon Extract Attenuates Cognitive and Neuronal Deficits Following Traumatic Brain InjuryJ Mol Neurosci. 2021 Jan;71(1):178-186. doi: 10.1007\/s12031-020-01688-4. Epub 2020 Sep 8.","Qubty D, Rubovitch V, Benromano T, Ovadia M, Pick CG. Orally Administered Cinnamon Extract Attenuates Cognitive and Neuronal Deficits Following Traumatic Brain InjuryJ Mol Neurosci. 2021 Jan;71(1):178-186. doi: 10.1007\/s12031-020-01688-4. Epub 2020 Sep 8.",male,male,mouse,ICR,ICR,,160,"Qubty D, Rubovitch V, Benromano T, Ovadia M, Pick CG. Orally Administered Cinnamon Extract Attenuates Cognitive and Neuronal Deficits Following Traumatic Brain InjuryJ Mol Neurosci. 2021 Jan;71(1):178-186. doi: 10.1007\/s12031-020-01688-4. Epub 2020 Sep 8.","Qubty D, Rubovitch V, Benromano T, Ovadia M, Pick CG. Orally Administered Cinnamon Extract Attenuates Cognitive and Neuronal Deficits Following Traumatic Brain InjuryJ Mol Neurosci. 2021 Jan;71(1):178-186. doi: 10.1007\/s12031-020-01688-4. Epub 2020 Sep 8.",male,male,weight-drop head trauma device,Weight-drop model
,250 - 300 g,https://doi.org/10.1007/s12035-017-0738-5,PMID:28842857,"Rosas-Hernandez H, Cuevas E, Escudero-Lourdes C, Lantz SM, Gomez-Crisostomo NP, Sturdivant NM, Balachandran K, Imam SZ, Slikker W Jr, Paule MG, Ali SF. Characterization of Biaxial Stretch as an In Vitro Model of Traumatic Brain Injury to the Blood-Brain BarrierMol Neurobiol. 2018 Jan;55(1):258-266. doi: 10.1007\/s12035-017-0738-5.","Rosas-Hernandez H, Cuevas E, Escudero-Lourdes C, Lantz SM, Gomez-Crisostomo NP, Sturdivant NM, Balachandran K, Imam SZ, Slikker W Jr, Paule MG, Ali SF. Characterization of Biaxial Stretch as an In Vitro Model of Traumatic Brain Injury to the Blood-Brain BarrierMol Neurobiol. 2018 Jan;55(1):258-266. doi: 10.1007\/s12035-017-0738-5.",female,female,"mouse, rat","C57BL, Sprague-Dawley","C57BL/6J, Sprague-Dawley",cell injury controller II system,161,"Rosas-Hernandez H, Cuevas E, Escudero-Lourdes C, Lantz SM, Gomez-Crisostomo NP, Sturdivant NM, Balachandran K, Imam SZ, Slikker W Jr, Paule MG, Ali SF. Characterization of Biaxial Stretch as an In Vitro Model of Traumatic Brain Injury to the Blood-Brain BarrierMol Neurobiol. 2018 Jan;55(1):258-266. doi: 10.1007\/s12035-017-0738-5.","Rosas-Hernandez H, Cuevas E, Escudero-Lourdes C, Lantz SM, Gomez-Crisostomo NP, Sturdivant NM, Balachandran K, Imam SZ, Slikker W Jr, Paule MG, Ali SF. Characterization of Biaxial Stretch as an In Vitro Model of Traumatic Brain Injury to the Blood-Brain BarrierMol Neurobiol. 2018 Jan;55(1):258-266. doi: 10.1007\/s12035-017-0738-5.",female,female,weight-drop device,Weight-drop model
,25 - 30 g,https://doi.org/10.1007/s12035-020-02040-y,PMID:32737763,"Ahmed ME, Selvakumar GP, Kempuraj D, Raikwar SP, Thangavel R, Bazley K, Wu K, Khan O, Khan A, Zaheer S, Iyer S, Burton C, James D, Zaheer A. Glia Maturation Factor (GMF) Regulates Microglial Expression Phenotypes and the Associated Neurological Deficits in a Mouse Model of Traumatic Brain InjuryMol Neurobiol. 2020 Nov;57(11):4438-4450. doi: 10.1007\/s12035-020-02040-y. Epub 2020 Jul 31.","Ahmed ME, Selvakumar GP, Kempuraj D, Raikwar SP, Thangavel R, Bazley K, Wu K, Khan O, Khan A, Zaheer S, Iyer S, Burton C, James D, Zaheer A. Glia Maturation Factor (GMF) Regulates Microglial Expression Phenotypes and the Associated Neurological Deficits in a Mouse Model of Traumatic Brain InjuryMol Neurobiol. 2020 Nov;57(11):4438-4450. doi: 10.1007\/s12035-020-02040-y. Epub 2020 Jul 31.",male,male,mouse,C57BL,C57BL/6,,162,"Ahmed ME, Selvakumar GP, Kempuraj D, Raikwar SP, Thangavel R, Bazley K, Wu K, Khan O, Khan A, Zaheer S, Iyer S, Burton C, James D, Zaheer A. Glia Maturation Factor (GMF) Regulates Microglial Expression Phenotypes and the Associated Neurological Deficits in a Mouse Model of Traumatic Brain InjuryMol Neurobiol. 2020 Nov;57(11):4438-4450. doi: 10.1007\/s12035-020-02040-y. Epub 2020 Jul 31.","Ahmed ME, Selvakumar GP, Kempuraj D, Raikwar SP, Thangavel R, Bazley K, Wu K, Khan O, Khan A, Zaheer S, Iyer S, Burton C, James D, Zaheer A. Glia Maturation Factor (GMF) Regulates Microglial Expression Phenotypes and the Associated Neurological Deficits in a Mouse Model of Traumatic Brain InjuryMol Neurobiol. 2020 Nov;57(11):4438-4450. doi: 10.1007\/s12035-020-02040-y. Epub 2020 Jul 31.",male,male,weight-drop device,Weight-drop model
Adult,200 - 220 g,https://doi.org/10.1007/s12035-021-02436-4,PMID:34148214,"Furtado ABV, Gonçalves DF, Hartmann DD, Courtes AA, Cassol G, Nunez-Figueredo Y, Argolo DS, do Nascimento RP, Costa SL, da Silva VDA, Royes LFF, Soares FAA. JM-20 Treatment After Mild Traumatic Brain Injury Reduces Glial Cell Pro-inflammatory Signaling and Behavioral and Cognitive Deficits by Increasing Neurotrophin ExpressionMol Neurobiol. 2021 Sep;58(9):4615-4627. doi: 10.1007\/s12035-021-02436-4. Epub 2021 Jun 19.","Furtado ABV, Gonçalves DF, Hartmann DD, Courtes AA, Cassol G, Nunez-Figueredo Y, Argolo DS, do Nascimento RP, Costa SL, da Silva VDA, Royes LFF, Soares FAA. JM-20 Treatment After Mild Traumatic Brain Injury Reduces Glial Cell Pro-inflammatory Signaling and Behavioral and Cognitive Deficits by Increasing Neurotrophin ExpressionMol Neurobiol. 2021 Sep;58(9):4615-4627. doi: 10.1007\/s12035-021-02436-4. Epub 2021 Jun 19.",male,male,rat,Wistar,Wistar,,163,"Furtado ABV, Gonçalves DF, Hartmann DD, Courtes AA, Cassol G, Nunez-Figueredo Y, Argolo DS, do Nascimento RP, Costa SL, da Silva VDA, Royes LFF, Soares FAA. JM-20 Treatment After Mild Traumatic Brain Injury Reduces Glial Cell Pro-inflammatory Signaling and Behavioral and Cognitive Deficits by Increasing Neurotrophin ExpressionMol Neurobiol. 2021 Sep;58(9):4615-4627. doi: 10.1007\/s12035-021-02436-4. Epub 2021 Jun 19.","Furtado ABV, Gonçalves DF, Hartmann DD, Courtes AA, Cassol G, Nunez-Figueredo Y, Argolo DS, do Nascimento RP, Costa SL, da Silva VDA, Royes LFF, Soares FAA. JM-20 Treatment After Mild Traumatic Brain Injury Reduces Glial Cell Pro-inflammatory Signaling and Behavioral and Cognitive Deficits by Increasing Neurotrophin ExpressionMol Neurobiol. 2021 Sep;58(9):4615-4627. doi: 10.1007\/s12035-021-02436-4. Epub 2021 Jun 19.",male,male,weight-drop device,Weight-drop model
,,https://doi.org/10.1007/s12035-021-02501-y,PMID:34365584,"Mondal K, Takahashi H, Cole J 2nd, Del Mar NA, Li C, Stephenson DJ, Allegood J, Cowart LA, Chalfant CE, Reiner A, Mandal N. Systemic Elevation of n-3 Polyunsaturated Fatty Acids (n-3-PUFA) Is Associated with Protection against Visual, Motor, and Emotional Deficits in Mice following Closed-Head Mild Traumatic Brain InjuryMol Neurobiol. 2021 Nov;58(11):5564-5580. doi: 10.1007\/s12035-021-02501-y. Epub 2021 Aug 8. PMC8655834","Mondal K, Takahashi H, Cole J 2nd, Del Mar NA, Li C, Stephenson DJ, Allegood J, Cowart LA, Chalfant CE, Reiner A, Mandal N. Systemic Elevation of n-3 Polyunsaturated Fatty Acids (n-3-PUFA) Is Associated with Protection against Visual, Motor, and Emotional Deficits in Mice following Closed-Head Mild Traumatic Brain InjuryMol Neurobiol. 2021 Nov;58(11):5564-5580. doi: 10.1007\/s12035-021-02501-y. Epub 2021 Aug 8. PMC8655834","male, female","male, female",mouse,C57BL,C57BL/6J,modified paintball gun,164,"Mondal K, Takahashi H, Cole J 2nd, Del Mar NA, Li C, Stephenson DJ, Allegood J, Cowart LA, Chalfant CE, Reiner A, Mandal N. Systemic Elevation of n-3 Polyunsaturated Fatty Acids (n-3-PUFA) Is Associated with Protection against Visual, Motor, and Emotional Deficits in Mice following Closed-Head Mild Traumatic Brain InjuryMol Neurobiol. 2021 Nov;58(11):5564-5580. doi: 10.1007\/s12035-021-02501-y. Epub 2021 Aug 8. PMC8655834","Mondal K, Takahashi H, Cole J 2nd, Del Mar NA, Li C, Stephenson DJ, Allegood J, Cowart LA, Chalfant CE, Reiner A, Mandal N. Systemic Elevation of n-3 Polyunsaturated Fatty Acids (n-3-PUFA) Is Associated with Protection against Visual, Motor, and Emotional Deficits in Mice following Closed-Head Mild Traumatic Brain InjuryMol Neurobiol. 2021 Nov;58(11):5564-5580. doi: 10.1007\/s12035-021-02501-y. Epub 2021 Aug 8. PMC8655834","male, female","male, female",air blast model,Blast model
,,https://doi.org/10.1007/s12640-020-00288-9,PMID:32955722,"Kempuraj D, Ahmed ME, Selvakumar GP, Thangavel R, Raikwar SP, Zaheer SA, Iyer SS, Govindarajan R, Nattanmai Chandrasekaran P, Burton C, James D, Zaheer A. Acute Traumatic Brain Injury-Induced Neuroinflammatory Response and Neurovascular Disorders in the BrainNeurotox Res. 2021 Apr;39(2):359-368. doi: 10.1007\/s12640-020-00288-9. Epub 2020 Sep 21. PMC7502806","Kempuraj D, Ahmed ME, Selvakumar GP, Thangavel R, Raikwar SP, Zaheer SA, Iyer SS, Govindarajan R, Nattanmai Chandrasekaran P, Burton C, James D, Zaheer A. Acute Traumatic Brain Injury-Induced Neuroinflammatory Response and Neurovascular Disorders in the BrainNeurotox Res. 2021 Apr;39(2):359-368. doi: 10.1007\/s12640-020-00288-9. Epub 2020 Sep 21. PMC7502806",male,male,mouse,CD-1,CD-1,,165,"Kempuraj D, Ahmed ME, Selvakumar GP, Thangavel R, Raikwar SP, Zaheer SA, Iyer SS, Govindarajan R, Nattanmai Chandrasekaran P, Burton C, James D, Zaheer A. Acute Traumatic Brain Injury-Induced Neuroinflammatory Response and Neurovascular Disorders in the BrainNeurotox Res. 2021 Apr;39(2):359-368. doi: 10.1007\/s12640-020-00288-9. Epub 2020 Sep 21. PMC7502806","Kempuraj D, Ahmed ME, Selvakumar GP, Thangavel R, Raikwar SP, Zaheer SA, Iyer SS, Govindarajan R, Nattanmai Chandrasekaran P, Burton C, James D, Zaheer A. Acute Traumatic Brain Injury-Induced Neuroinflammatory Response and Neurovascular Disorders in the BrainNeurotox Res. 2021 Apr;39(2):359-368. doi: 10.1007\/s12640-020-00288-9. Epub 2020 Sep 21. PMC7502806",male,male,weight-drop device,Weight-drop model
Mature,200 - 250 g,https://doi.org/10.1007/s10517-021-05130-6,PMID:33788107,"Plekhova NG, Radkov IV, Zinoviev SV, Dyuizen IV, Baryshev AN, Shumatov VB. Effect of Mild Traumatic Brain Injury on Behavioral Reactions and Neocortical Morphology in RatsBull Exp Biol Med. 2021 Mar;170(5):672-676. doi: 10.1007\/s10517-021-05130-6. Epub 2021 Mar 31.","Plekhova NG, Radkov IV, Zinoviev SV, Dyuizen IV, Baryshev AN, Shumatov VB. Effect of Mild Traumatic Brain Injury on Behavioral Reactions and Neocortical Morphology in RatsBull Exp Biol Med. 2021 Mar;170(5):672-676. doi: 10.1007\/s10517-021-05130-6. Epub 2021 Mar 31.",male,male,rat,Wistar,Wistar,,167,"Plekhova NG, Radkov IV, Zinoviev SV, Dyuizen IV, Baryshev AN, Shumatov VB. Effect of Mild Traumatic Brain Injury on Behavioral Reactions and Neocortical Morphology in RatsBull Exp Biol Med. 2021 Mar;170(5):672-676. doi: 10.1007\/s10517-021-05130-6. Epub 2021 Mar 31.","Plekhova NG, Radkov IV, Zinoviev SV, Dyuizen IV, Baryshev AN, Shumatov VB. Effect of Mild Traumatic Brain Injury on Behavioral Reactions and Neocortical Morphology in RatsBull Exp Biol Med. 2021 Mar;170(5):672-676. doi: 10.1007\/s10517-021-05130-6. Epub 2021 Mar 31.",male,male,weight-drop device,Weight-drop model
,29.3 - 38.5 g,https://doi.org/10.1186/1750-1326-9-55,PMID:25443413,"Namjoshi DR, Cheng WH, McInnes KA, Martens KM, Carr M, Wilkinson A, Fan J, Robert J, Hayat A, Cripton PA, Wellington CL. Merging pathology with biomechanics using CHIMERA (Closed-Head Impact Model of Engineered Rotational Acceleration): a novel, surgery-free model of traumatic brain injuryMol Neurodegener. 2014 Dec 1;9:55. doi: 10.1186\/1750-1326-9-55. PMC4269957","Namjoshi DR, Cheng WH, McInnes KA, Martens KM, Carr M, Wilkinson A, Fan J, Robert J, Hayat A, Cripton PA, Wellington CL. Merging pathology with biomechanics using CHIMERA (Closed-Head Impact Model of Engineered Rotational Acceleration): a novel, surgery-free model of traumatic brain injuryMol Neurodegener. 2014 Dec 1;9:55. doi: 10.1186\/1750-1326-9-55. PMC4269957",male,male,mouse,C57BL,C57Bl/6,"pneumatic impactor system, pneumatic impactor system",170,"Namjoshi DR, Cheng WH, McInnes KA, Martens KM, Carr M, Wilkinson A, Fan J, Robert J, Hayat A, Cripton PA, Wellington CL. Merging pathology with biomechanics using CHIMERA (Closed-Head Impact Model of Engineered Rotational Acceleration): a novel, surgery-free model of traumatic brain injuryMol Neurodegener. 2014 Dec 1;9:55. doi: 10.1186\/1750-1326-9-55. PMC4269957","Namjoshi DR, Cheng WH, McInnes KA, Martens KM, Carr M, Wilkinson A, Fan J, Robert J, Hayat A, Cripton PA, Wellington CL. Merging pathology with biomechanics using CHIMERA (Closed-Head Impact Model of Engineered Rotational Acceleration): a novel, surgery-free model of traumatic brain injuryMol Neurodegener. 2014 Dec 1;9:55. doi: 10.1186\/1750-1326-9-55. PMC4269957",male,male,CHIMERA (Closed-Head Impact Model of Engineered Rotational Acceleration),Other
,,https://doi.org/110.20517/2347-8659.2016.40,PMID:28164149,"Turner RC, Naser ZJ, Lucke-Wold BP, Logsdon AF, Vangilder RL, Matsumoto RR, Huber JD, Rosen CL. Single low-dose lipopolysaccharide preconditioning: neuroprotective against axonal injury and modulates glial cellsNeuroimmunol Neuroinflamm. 2017 Jan;4:6-15. doi: 10.20517\/2347-8659.2016.40. Epub 2017 Jan 20. PMC5289820","Turner RC, Naser ZJ, Lucke-Wold BP, Logsdon AF, Vangilder RL, Matsumoto RR, Huber JD, Rosen CL. Single low-dose lipopolysaccharide preconditioning: neuroprotective against axonal injury and modulates glial cellsNeuroimmunol Neuroinflamm. 2017 Jan;4:6-15. doi: 10.20517\/2347-8659.2016.40. Epub 2017 Jan 20. PMC5289820",male,male,rat,Sprague-Dawley,Sprague-Dawley,,171,"Turner RC, Naser ZJ, Lucke-Wold BP, Logsdon AF, Vangilder RL, Matsumoto RR, Huber JD, Rosen CL. Single low-dose lipopolysaccharide preconditioning: neuroprotective against axonal injury and modulates glial cellsNeuroimmunol Neuroinflamm. 2017 Jan;4:6-15. doi: 10.20517\/2347-8659.2016.40. Epub 2017 Jan 20. PMC5289820","Turner RC, Naser ZJ, Lucke-Wold BP, Logsdon AF, Vangilder RL, Matsumoto RR, Huber JD, Rosen CL. Single low-dose lipopolysaccharide preconditioning: neuroprotective against axonal injury and modulates glial cellsNeuroimmunol Neuroinflamm. 2017 Jan;4:6-15. doi: 10.20517\/2347-8659.2016.40. Epub 2017 Jan 20. PMC5289820",male,male,weight-drop device,Other
Adult, 250 g,https://doi.org/10.1111/1440-1681.12650,PMID:27557565,"Chen H, Chan YL, Nguyen LT, Mao Y, de Rosa A, Beh IT, Chee C, Oliver B, Herok G, Saad S, Gorrie C. Moderate traumatic brain injury is linked to acute behaviour deficits and long term mitochondrial alterationsClin Exp Pharmacol Physiol. 2016 Nov;43(11):1107-1114. doi: 10.1111\/1440-1681.12650.","Chen H, Chan YL, Nguyen LT, Mao Y, de Rosa A, Beh IT, Chee C, Oliver B, Herok G, Saad S, Gorrie C. Moderate traumatic brain injury is linked to acute behaviour deficits and long term mitochondrial alterationsClin Exp Pharmacol Physiol. 2016 Nov;43(11):1107-1114. doi: 10.1111\/1440-1681.12650.",female,female,rat,Sprague-Dawley,Sprague-Dawley,New York University Impactor,175,"Chen H, Chan YL, Nguyen LT, Mao Y, de Rosa A, Beh IT, Chee C, Oliver B, Herok G, Saad S, Gorrie C. Moderate traumatic brain injury is linked to acute behaviour deficits and long term mitochondrial alterationsClin Exp Pharmacol Physiol. 2016 Nov;43(11):1107-1114. doi: 10.1111\/1440-1681.12650.","Chen H, Chan YL, Nguyen LT, Mao Y, de Rosa A, Beh IT, Chee C, Oliver B, Herok G, Saad S, Gorrie C. Moderate traumatic brain injury is linked to acute behaviour deficits and long term mitochondrial alterationsClin Exp Pharmacol Physiol. 2016 Nov;43(11):1107-1114. doi: 10.1111\/1440-1681.12650.",female,female,weight-drop device,Weight-drop model
